종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"006060","화승인더","5190","-80","-1.52","5250","5310","5160","95758","499113405","287110800000","55320000"
"013520","화승코퍼레이션","2155","5","0.23","2180","2180","2105","112727","241285760","107860448060","50051252"
"010690","화신","8360","-110","-1.30","8450","8550","8330","136032","1143817005","291934627600","34920410"
"133820","화인베스틸","901","-3","-0.33","906","914","891","38717","34837524","27774332318","30826118"
"010660","화천기계","5830","310","5.62","5550","5850","5530","639457","3668137545","128260000000","22000000"
"000850","화천기공","33850","0","0.00","33750","33900","33450","4716","158919050","74470000000","2200000"
"016580","환인제약","12950","110","0.86","12920","13210","12900","115157","1503295840","240870906500","18600070"
"032560","황금에스티","6220","-10","-0.16","6280","6280","6190","11532","71812830","105740000000","17000000"
"004800","효성","76000","-500","-0.65","77000","77400","75100","61254","4666283800","1272270932000","16740407"
"094280","효성ITX","14000","-40","-0.28","14150","14190","13840","31363","439020080","161814800000","11558200"
"298040","효성중공업","978000","3000","0.31","990000","998000","962000","42974","41852301500","9119407944000","9324548"
"298020","효성티앤씨","266500","8500","3.29","259000","273000","259000","26227","7033823500","1153327253000","4327682"
"298000","효성화학","38900","0","0.00","0","0","0","0","0","147501447900","3791811"
"093370","후성","4900","35","0.72","4850","5010","4845","276419","1360398825","525551117000","107255330"
"005870","휴니드","9300","50","0.54","9400","9400","9210","98127","912610595","131278939500","14116015"
"079980","휴비스","3450","-10","-0.29","3460","3485","3435","71035","245428760","119025000000","34500000"
"005010","휴스틸","4790","20","0.42","4790","4810","4740","426590","2035750701","269140879250","56188075"
"000540","흥국화재","5850","220","3.91","5770","5910","5560","3372495","19287360315","375819473250","64242645"
"000545","흥국화재우","8780","630","7.73","8220","8780","8050","105933","878451070","6743040000","768000"
"003280","흥아해운","1866","29","1.58","1838","1891","1837","6269170","11734209763","448632861534","240424899"
